Issuer,Symbol,Manager1,IPOPrice,OpenPrice,ClosePrice,PxChng,OpeningChng,Ratings,Performed
DexCom ,DXCM,Piper Jaffray,12,12.08,11.74,-2.17,0.08,2,Missed
Earle M. Jorgensen ,JOR,Credit Suisse,10,9,9,-10,-1,1,
Terra Nova Acquisition,TNVAU,EarlyBirdCapital,6,6.09,6.22,3.67,6.22,1,
National Atlantic Holdings ,NAHC,Citigroup,12,12,11.81,-1.58,0,1,
KBL Healthcare Acquisition Corp. II ,KBLHU,EarlyBirdCapital,6,6.01,6.3,5,0.01,1,
Accuride ,ACW,Citigroup,9,9,9,0,0,1,
VeriFone Holdings,PAY,JP Morgan,10,10.75,10.75,7.5,0.75,1,
Lazard ,LAZ,Goldman Sachs,25,25,24,-4,0,3,Missed
Lazard Ltd. ,LDZ,Goldman Sachs,25,24,24,-4,-1,3,Missed
"Teekay LNG Partners, L.P. ",TGP,Citigroup,22,24.69,24.3,10.45,2.69,2,
Bois d'Arc Energy ,BDE,Raymond James,13,13.25,12.65,-2.69,0.25,2,Missed
New Skies Satellites ,NSE,Goldman Sachs,16.5,16.6,16.58,0.48,0.1,1,
Warner Music Group ,WMG,Goldman Sachs,17,15.75,16.4,-3.53,-1.25,1,
Xerium Technologies ,XRM,Citigroup,12,12,12,0,0,1,
TransMontaigne Partners L.P.,TLP,UBS Investment Bank,21.4,24.5,24.51,14.53,3.1,2,
DiamondRock Hospitalty ,DRH,Citigroup,10.5,10.54,10.6,0.95,0.04,1,
SSA Global Technologies ,SSAG,JP Morgan,11,11.5,11,0,0.5,1,
XenoPort ,XNPT,Morgan Stanley,10.5,10.52,10.39,-1.05,0.02,1,
Aries Maritime Transportation  ,RAMS,Jefferies,12.5,12.54,12.97,3.75,0.04,2,Missed
LHC Group ,LHCG,Jefferies,14,15.5,17.1,22.14,1.5,2,
Premium Standard Farms,PORK,Morgan Stanley,12.5,12.5,12.5,0,0,1,
Gentium S.p.A. ,GNT,Maxim Group,9,8.5,8.9,-1.11,-0.5,1,
ev3 ,EVVV,Piper Jaffray,14,13.5,14.15,1.07,-0.5,1,
Inergy Holdings LP ,NRGP,Lehman Brothers,22.5,27.5,27.83,23.69,5,3,
Builders FirstSources,BLDR,UBS Investment Bank,16,16.52,15.44,-3.5,0.52,3,Missed
Eagle Bulk Shipping ,EGLE,UBS Investment Bank,14,14,13.5,-3.57,0,1,
KKR Financial ,KFN,Citigroup,24,24.75,24.5,2.08,0.75,2,
Deerfield Triarc Capital ,DFR,Credit Suisse,16,16,16,0,0,1,
HemoSense ,HEM,Lazard Capital Markets,5.5,5.5,5.52,0.36,0,1,
DSW ,DSW,Lehman Brothers,19,24,24.1,26.84,5,2,
NeuStar ,NSR,Morgan Stanley,22,25,26,18.18,3,2,
Silicon Motion Technology ,SIMO,Deutsche Bank,10.5,10.6,10.5,0,0.1,2,Missed
Courtside Acquisition ,CRBU,EarlyBirdCapital,6,5.85,6,0,-0.15,1,
Focus Media Holding Limited ,FMCN,Goldman Sachs,17,18.75,20.2,18.82,1.75,2,
Fortress America Acquisition ,FAACU,Sunrise Securities,6,6,6,0,0,1,
Israel Technonlgy Acquisition ,ISLTU,EarlyBirdCapital,6,6.05,5.8,-3.33,0.05,1,
Oakmont Acquisition ,OMACU,Morgan Joseph,6,6,6,0,0,1,
Quintana Maritine ,QMAR,Citigroup,11.5,11,11.26,-2.09,-0.5,1,
Juniper Partners Acquisition,JNPPU,HCFP,10.5,10.5,10.4,-0.95,0,1,
Juniper Partners Acquisition,JNPPZ,HCFP,10.1,10.1,10.05,-0.5,0,1,
Consolidated Communications Illinois ,CNSL,Credit Suisse,13,13,13.79,6.08,0,1,
Genco Shipping & Trading ,GSTL,Jefferies,21,21,20.87,-0.62,0,1,
Hittite Microwave ,HITT,Lehman Brothers,17,20.77,19.45,14.41,3.77,3,
Maidenform Brands ,MFB,UBS Investment Bank,17,20.5,19.85,16.76,3.5,2,
ITC Holdings ,ITC,Lehman Brothers,23,27,26.4,14.78,4,2,
Pike Electric ,PEC,Citigroup,14,14.22,14.36,2.57,0.22,2,Missed
Alon USA Energy ,ALJ,Credit Suisse,16,18,17.25,7.81,2,3,
Golf Galaxy ,GGXY,Piper Jaffray,14,17.05,18.61,32.93,3.05,2,
Superior Well Services ,SWSI,KeyBanc Capital Markets,13,16.25,18.4,41.54,3.25,2,
Healthcare Acquisition,HAQ.U,Maxim Group,8,8,8,0,0,1,
Baby Universe ,BUN,Gunn Allen,9.5,9.85,10.7,12.63,0.35,1,
Unica ,UNCA,Deutsche Bank,10,10.21,11.71,17.1,0.21,1,
The Republic Group ,RUTX,JP Morgan,14,14,14.15,1.07,0,1,
MWI Veterinary Supply ,MWIV,Banc of America,17,20.14,21.25,25,3.14,3,
Eschelon Telecom ,ESCH,Lehman Brothers,14,13.78,13.15,-6.07,-0.22,1,
WorldSpace ,WRSP,UBS Investment Bank,21,24.1,22.36,6.48,3.1,3,
Advanced Analogic Technologies ,AATI,Morgan Stanley,10,12.25,11.87,18.7,2.25,2,
Chardan North China Acquisition ,CNCAU,EarlyBirdCapital,6,5.95,6.15,2.5,-0.05,1,
Chardan Southj China Acquisition,CSCAU,EarlyBirdCapital,6,5.98,6.15,2.5,-0.02,1,
AtriCure ,ATRC,UBS Investment Bank,12,12.1,14.08,17.33,0.1,2,
Hoku Scientific ,HOKU,Piper Jaffray,6,6.01,5.36,-10.67,0.01,1,
Baidu.com ,BIDU,Goldman Sachs,27,66,122.54,353.85,39,4,
Dresser-Rand Group ,DRC,Morgan Stanley,21,22.01,22.8,8.57,1.01,2,
K&F Holdings Industries ,KFI,Goldman Sachs,17.5,18.45,17.4,-0.57,0.95,3,Missed
Ruth's Chris Steak House ,RUTH,Banc of America,18,19.8,20.7,15,1.8,3,
Seaspan ,SSW,Citigroup,21,21.1,21.3,1.43,0.1,1,
China Medical Technologies ,CMED,UBS Investment Bank,15,15.45,16.2,8,0.45,2,
Reddy Ice Holdings ,FRZ,Bear Stearns,18.5,19.6,19.31,4.38,1.1,3,
CF Industries Holdings ,CF,Morgan Stanley,16,16.25,16.2,1.25,0.25,2,Missed
Heartland Payment Systems ,HPY,Citigroup,18,22.5,24.51,36.17,4.5,2,
Refco ,RFX,Credit Suisse,22,26.25,27.48,24.91,4.25,3,
Bronce Driling,BRNC,Johnson Rice,17,19,18.47,8.65,2,2,
Rockwood Holdings ,ROC,Goldman Sachs,20,19.72,20,0,-0.28,1,
Williams Partners ,WPZ,Lehman Brothers,21.5,24.9,25.5,18.6,3.4,3,
Stone Acarde Acquisition ,SCDEU,Morgan Joseph,6,6.04,6.15,2.5,0.04,1,
Ithaka Acquisition ,ITHKU,EarlyBirdCapital,6,5.95,5.85,-2.5,-0.05,1,
Enterprise GP Holdings LP ,EPE,Citigroup,28,33.05,32.55,16.25,5.05,3,
Coconut Palm Acquisition ,CNUTU,Morgan Joseph,6,6.2,6.2,3.33,0.2,1,
Williams Scotsman International ,WLSC,Citigroup,16,15.86,15.93,-0.44,-0.14,2,Missed
Nexity Financial ,NXTY,Raymond James,16,16.31,16.25,1.56,0.31,1,
Ikanos Communications ,IKAN,Citigroup,12,13.3,13,8.33,1.3,2,
North Pointe Holdings ,NPTE,SunTrust Robinson Humphrey,12,12.26,12.03,0.25,0.26,2,Missed
Global Cash Access Holdings ,GCA,Goldman Sachs,14,15.22,14.96,6.86,1.22,3,
Horizon Lines ,HRZ,Goldman Sachs,10,10.5,10.75,7.5,0.5,1,
Sunesis Pharmaceuticals ,SNSS,Lehman Brothers,7,7.09,6.5,-7.14,0.09,1,
TRX ,TRXI,Credit Suisse,9,9,9.06,0.67,0,1,
Genomic Health ,GHDX,JP Morgan,12,12,11.75,-2.08,0,2,Missed
Taleo ,TLEO,Citigroup,14,14.01,13.6,-2.86,0.01,2,Missed
Caribou Coffee ,CBOU,Merril Lynch,14,15.5,13,-7.14,1.5,2,
Global Partners ,GLP,Lehman Brothers,22,25,23.7,7.73,3,3,
WebMD Health ,WBMD,Morgan Stanley,17.5,19.8,24.4,39.43,2.3,2,
VistaPrint Limited ,VPRT,Goldman Sachs,12,12.27,15.25,27.08,0.27,2,
StealthGas ,GASS,Cantor,14.5,14.59,13.8,-4.83,0.09,2,Missed
TAL International ,TAL,Credit Suisse,18,18,18,0,0,2,Missed
PokerTek ,PTEK,Feltl,11,11.3,10.25,-6.82,0.3,2,Missed
CBOT Holdings ,BOT,Credit Suisse,54,80.75,80.3,48.7,26.75,4,
Federal Services Acquisition ,FDSUA,Credit Suisse,6,6.1,6.01,0.17,0.1,1,
Paramount Acquisition ,PMQCU,EarlyBirdCapital,6,6.05,6.19,3.17,0.05,1,
Key Hospitality Acquisition ,KHPAU,Maxim Group,8,8,8,0,0,1,
Platinum Energy Resources ,PGRIU,Casimir Capital,8,7.75,7.5,-6.25,-0.25,1,
Cogdell Spencer ,CSA,Banc of America,17,17,17,0,0,1,
Hercules Offshore ,HERO,Credit Suisse,20,23.5,21.9,9.5,3.5,3,
MathStar ,MATH,Feltl,6,6.5,5.9,-1.67,0.5,1,
Electro-Optical Sciences ,MELA,ThinkEquity Partners,5,6.5,7.71,54.2,1.5,1,Missed
Accentia Biopharmaceuticals ,ABPI,Jefferies,8,8,7.25,-9.38,0,1,
Cbeyond Communications ,CBEY,Deutsche Bank,12,12,12,0,0,1,
Newkirk Realty Trust ,NKT,Bear Stearns,16,15.45,15.05,-5.94,-0.55,1,
Boardwalk Pipeline Partners L.P.,BWP,Citigroup,19.5,19.5,18.95,-2.82,0,3,Missed
iRobot ,IRBT,Morgan Stanley,24,29.51,26.7,11.25,5.51,2,
Saifun Semiconductors Ltd. ,SFUN,Lehman Brothers,23.5,31.18,35.3,50.21,7.68,3,
Cold Spring Capital ,CDS-U,Deutsche Bank,6,5.8,5.9,-1.67,-0.2,1,
Clear Channel Outdoor Holdings ,CCO,Goldman Sachs,18,17.75,18.55,3.06,-0.25,1,
IHS ,IHS ,Goldman Sachs,16,17,17.1,6.88,1,2,
Vimicro International ,VIMC,Morgan Stanley,10,10.01,8.36,-16.4,0.01,1,
IntercontinentalExchange ,ICE,Morgan Stanley,26,39,39.25,50.96,13,3,
SunPower ,SPWR,Credit Suisse,18,28,25.45,41.39,10,3,
Under Armour ,UARM,Goldman Sachs,13,31,25.3,94.62,18,3,
Tronox ,TRX,Lehman Brothers,14,13.6,14.3,2.14,-0.4,1,
Union Drilling ,UDRL,JPMorgan,14,13.61,14.41,2.93,-0.39,1,
Brookdale Senior Living ,BKD,Goldman Sachs,18,23.1,25.43,41.28,5.1,2,
Actions Semiconductor ,ACTS,Credit Suisse,8,7.9,8,0,-0.1,1,
DCP Midstream Partners ,DPM,Lehman Brothers,21.5,22.9,23.05,7.21,1.4,3,
WiderThan ,WTHN,JPMorgan,12,14.5,12,0,2.5,1,
Basic Energy Services ,BAS,Goldman Sachs,20,22,21.5,7.5,2,3,
Cynosure ,CYNO,Citigroup,15,16.99,18.93,26.2,1.99,2,
DealerTrack Holdings ,TRAK,Lehman Brothers,17,19.75,19.25,13.24,2.75,3,
Suntech Power Holdings ,STP,Credit Suisse,15,20.35,21.2,41.33,5.35,2,
