Issuer,Symbol,Manager1,IPOPrice,OpenPrice,ClosePrice,PxChng,OpeningChng,Ratings,Performed
Millennium Cell ,MCEL,Morgan Keegan,10,10,10,0,0,1,
Repeater Technologies ,RPTR,US Bancorp Piper Jaffray,9,17,8.75,-2.78,8,4,
Radview Software ,RDVW,Deutsche Bank,10,9.03,10.03,0.31,-0.97,1,
Pharsight ,PHST,Deutsche Bank,10,9.06,10.03,0.31,-0.94,1,
H Power ,HPOW,Lehman Brothers,16,18,27,68.75,2,3,
McData ,MCDT,Credit Suisse,28,73,85.56,205.58,45,4,
Regeneration Technologies,RTIX,Banc of America Securities,14,16.31,14.13,0.89,2.31,4,Missed
VINA Technologies ,VINA,Lehman Brothers,12,13.06,13.5,12.5,1.06,1,
Evolve Software ,EVLV,Credit Suisse,9,9,18,100,0,3,
American Medical Systems Holdings ,AMMD,US Bancorp Piper Jaffray,11,11.03,11.56,5.11,0.03,2,Missed
Equinix ,EQIX,Goldman Sachs,12,12.75,13.13,9.38,0.75,2,
Telik ,TELK,Lehman Brothers,7,7.03,7.06,0.89,0.03,1,
SynQuest ,SYNQ,Bear Stearns,7,6.5,7,0,-0.5,1,
Viasource Communications ,VVVV,Deutsche Bank,8,8.02,8,0,0.02,1,
Integrated Telecom Express ,ITXI,Lehman Brothers,18,18.25,24.88,38.19,0.25,3,
02 Micro ,OIIM,Roberston Stephens,9,16,20.77,130.73,7,2,
Chiles Offshore ,COD,Credit Suisse,19,21.06,21,10.53,2.06,2,
OmniSky ,OMNY,Credit Suisse,12,17.13,17.64,47.01,5.13,2,
INRANGE Technologies ,INRG,Salomon Smith Barney,16,36,46.25,189.06,20,4,
HyDril ,HYDL,Salomon Smith Barney,17,19,20.38,19.85,2,3,
AvantGo ,AVGO,Credit Suisse,12,22.5,20,66.67,10.5,3,
University of Phoenix Online,UOPX,Credit Suisse,14,14,17.81,27.23,0,2,
Vastera ,VAST,Deutsche Bank,14,16.69,17.25,23.21,2.69,4,
atRoad ,ARDI,Credit Suisse,9,9,7.19,-20.14,0,2,Missed
Head NV ,HED,Morgan Stanley,10,7.75,8,-20,-2.25,2,Missed
Simple Technology ,STEC,Lehman Brothers,11,11.06,9.69,-11.93,0.06,4,Missed
Docent  ,DCNT,Deutsche Bank,11,13,18.31,66.48,2,3,
Wilson Greatbatch Technologies ,GB,Deutsche Bank,16,20,22.88,42.97,4,3,
InforMax,INMX,Bear Stearns,16,22.13,21.25,32.81,6.13,3,
Kosan Biosciences ,KOSN,Lehman Brothers,14,14,14,0,0,3,Missed
TNPC (The New Power Co.)  ,NPW,Credit Suisse,21,28.5,27,28.57,7.5,3,
POZEN ,POZN,US Bancorp Piper Jaffray,15,15.03,15.25,1.67,0.03,3,Missed
Watson Wyatt  ,WW,Deutsche Bank,12.5,14.88,16.38,31,2.38,3,
W-H Energy ,WHES,Credit Suisse,16.5,17,14.25,-13.64,0.5,1,
EndWave ,ENWV,Deutsche Bank,14,14.91,14.06,0.45,0.91,3,Missed
Westport Resources ,WRC,Credit Suisse,15,16,17.13,14.17,1,3,
Crucell ,CRXL,Goldman Sachs,14.89,12.63,12.75,-14.37,-2.27,3,Missed
Hydrogenics ,HYGS,Salomon Smith Barney,12,14,12.25,2.08,2,3,
Evergreen Solar ,ESLR,Banc of America,14,15.75,19,35.71,1.75,3,
UTiWorldwide ,UTIW,Bear Stearns,15,15.06,17.44,16.25,0.06,1,
Inficon ,IFCN,Credit Suisse,12.66,12.69,12.5,-1.26,0.03,3,Missed
Go2Pharmacy ,GORX,Utendhal Capital Partners,7.88,7.38,7.25,-7.94,-0.5,1,
Luminent ,LMNE,Credit Suisse,12,12.06,12.13,1.04,0.06,1,
Novatel Wireless ,NVTL,Credit Suisse,8,8.38,9,12.5,0.38,3,
Array BioPhama ,ARRY,Lehman Brothers,7.5,8.16,8.75,16.67,0.66,2,
Beacon Power ,BCON,Salomon Smith Barney,6,6.16,6.72,11.98,0.16,1,
Telefonica Moviles ,TEM,BBVA,9.33,9.25,9.06,-2.91,-0.08,2,Missed
Telenor ASA,TELN,Goldman Sachs,13.63,12.25,12.56,-7.83,-1.38,2,Missed
Garmin ,GRMN,Credit Suisse,14,15.81,20,42.86,1.81,1,
W.P. Stewart & Co. ,WPL,Goldman Sachs,20,22.06,24.5,22.5,2.06,2,
Gemplus ,GEMP,Credit Suisse,10.69,12,13.38,25.12,1.31,1,
Resources Connection ,RECN,Credit Suisse,12,13.63,16,33.33,1.63,2,
